"Test","Genotype","AgScore","Bulk.Weight","HT","Hundred.Seed.Weight","LDG","Oil.Dry.Basis","P_O","Protein.Dry.Basis"
"Yield Test 1","Dunphy",1.99999999999998,2397.64185034563,30.8333333333333,15.85,1.66666666666669,22.9866666666667,62.6916666666665,39.705
"Yield Test 1","LMN09-119",3.83333333333332,2068.63280621208,29.6666666666667,17.975,2.83333333333334,20.63,69.0483333333333,48.4183333333333
"Yield Test 1","N09-09",2.5,2108.43198906624,36,16.625,1.75000000000001,21.375,67.295,45.92
"Yield Test 1","N18-1569",1.91666666666666,2171.53366745767,31.8333333333333,13.675,1.91666666666667,22.2666666666667,65.1999999999999,42.9333333333333
"Yield Test 1","N18-1570",2,2176.08320230067,30,14.95,1.75000000000001,21.2816666666667,66.615,45.3333333333334
"Yield Test 1","N18-1577",2.33333333333333,2155.11095631711,31.6666666666667,14.95,2.16666666666667,20.9633333333334,68.135,47.1716666666667
"Yield Test 1","N18-1580",1.99999999999999,2511.3432333323,35.5,14.475,1.75,23.0083333333334,63.2266666666666,40.2183333333334
"Yield Test 1","N18-1586",2.33333333333333,2280.72250368951,30.6666666666667,13.85,1.83333333333334,21.8683333333334,66.8,44.9316666666667
"Yield Test 1","N18-1587",2.5,2250.61419993182,36.1666666666667,14.2,1.91666666666667,21.325,65.0916666666666,43.7666666666667
"Yield Test 1","N18-1601",2.33333333333333,2198.86786460379,34.8333333333333,15.2,1.83333333333334,20.975,66.56,45.585
"Yield Test 1","N18-1602",2.41666666666666,2221.39361028983,30.5,15.125,2.16666666666668,21.6016666666667,65.6616666666666,44.06
"Yield Test 1","N18-1613",1.91666666666666,2079.91417309919,33,16.425,1.50000000000001,21.0216666666667,65.3699999999999,44.3483333333333
"Yield Test 1","N18-1615",2.24999999999999,2228.90219218517,34.1666666666667,17.05,1.66666666666667,22.5483333333334,66.3783333333333,43.83
"Yield Test 1","N18-1617",1.83333333333333,2304.46885628465,37.1666666666666,13.775,1.58333333333334,21.7,65.2816666666666,43.5816666666667
"Yield Test 1","N18-1619",2.24999999999999,2237.70535716593,35.3333333333333,16.225,1.83333333333334,21.1383333333334,65.4083333333333,44.27
"Yield Test 1","N18-1622",2.41666666666666,2290.37639469781,35.6666666666667,14.675,2.16666666666668,22.3683333333334,64.81,42.4416666666667
"Yield Test 1","N18-1626",2.16666666666666,2089.45709984302,31,15.275,1.83333333333334,20.1216666666667,68.205,48.0833333333333
"Yield Test 1","N18-1627",1.91666666666666,2319.37505581088,33,16.1,1.75000000000001,22.2433333333334,66.8233333333333,44.58
"Yield Test 1","N18-1643",2,2409.84791943658,28.5,15.5,1.58333333333334,22.6033333333334,65.8666666666666,43.2633333333334
"Yield Test 1","N18-1655",2.33333333333333,2203.04751856524,31.1666666666667,15.025,1.91666666666667,20.42,67.3533333333333,46.9333333333334
"Yield Test 1","N18-1659",2.25,2303.32222555186,31,14.075,1.66666666666668,21.1733333333334,68.0516666666667,46.8783333333334
"Yield Test 1","N18-1660",2.16666666666666,2237.15053584361,36.1666666666667,13.7,2.00000000000001,22.8766666666667,64.6066666666666,41.73
"Yield Test 1","N18-1661",2.33333333333333,2416.09890633468,35,14.65,2.25,23.2516666666667,65.2683333333333,42.0166666666667
"Yield Test 1","N18-1664",2.25,2276.54284972806,30.8333333333333,13.05,2.00000000000001,21.2883333333334,65.1466666666666,43.8583333333334
"Yield Test 1","N18-1669",1.66666666666666,2522.32869551417,30.5,16.175,1.50000000000001,22.6283333333334,64.8583333333333,42.23
"Yield Test 1","N18-1701",2.41666666666666,2023.17444587031,38.3333333333333,14.925,2.16666666666667,20.8883333333334,68.3383333333333,47.45
"Yield Test 1","N18-1704",2.33333333333333,2262.93123328724,33.5,13.85,2.08333333333334,20.4783333333334,66.0766666666666,45.5983333333333
"Yield Test 1","N18-1719",2.66666666666666,1999.2431528344,34.6666666666667,14.3,2.25000000000001,21.9433333333334,66.9783333333333,45.035
"Yield Test 1","N18-1724",2.83333333333333,2232.63798908877,32.3333333333333,14.375,2.50000000000001,21.87,65.78,43.91
"Yield Test 1","N18-1728",2.33333333333333,2174.2707859811,34.3333333333333,14.875,2.41666666666667,21.885,64.8016666666666,42.9166666666667
"Yield Test 1","N18-1737",2.16666666666666,2226.38700219067,31.3333333333333,15,1.58333333333334,21.055,67.45,46.395
"Yield Test 1","N18-1744",2.08333333333333,2232.93389379401,30.8333333333333,13.1,1.33333333333334,20.9966666666667,65.395,44.3983333333333
"Yield Test 1","N18-1758",2.58333333333333,2082.984184416,33.1666666666667,16.75,2.25000000000001,21.915,67.0266666666666,45.1116666666667
"Yield Test 1","N18-1761",1.91666666666666,2140.57463767243,30.3333333333333,15.125,1.58333333333334,21.0366666666667,68.8316666666666,47.795
"Yield Test 1","N18-1764",1.83333333333332,2103.40160907724,32.3333333333333,13.7,1.66666666666667,21.1133333333334,66.7166666666666,45.6033333333333
"Yield Test 1","N18-1769",1.99999999999999,2324.47941197619,31,14.475,1.66666666666667,21.0883333333334,67.6566666666666,46.5683333333333
"Yield Test 1","N18-1783",2.24999999999999,2289.56265675842,33.8333333333333,14.525,2.00000000000001,22.2633333333334,66.8933333333333,44.63
"Yield Test 1","N18-1792",1.91666666666666,2164.32099026756,30.1666666666667,16.8,1.41666666666667,20.9533333333334,68.035,47.0816666666667
"Yield Test 1","N18-1796",2.16666666666666,2382.03287714446,32.1666666666667,14.025,2.00000000000001,21.285,67.55,46.265
"Yield Test 1","N18-1803",1.99999999999999,2486.00639294653,31.3333333333333,13.875,1.91666666666667,21.945,65.085,43.14
"Yield Test 1","N18-1807",2.08333333333333,2320.74361507259,31,15.925,1.91666666666667,21.8716666666667,66.245,44.3733333333333
"Yield Test 1","N18-1814",1.99999999999999,2088.16251675762,31,12.7,2.00000000000001,21.65,66.125,44.475
"Yield Test 1","N18-1820",2.16666666666666,2387.72904272024,29.1666666666667,16.25,2.00000000000001,22.8916666666667,65.3983333333333,42.5066666666667
"Yield Test 1","Osage",2.08333333333333,2235.15317908327,27,13.075,1.75000000000001,21.95,65.6766666666666,43.7266666666667
